Gene stable ID	Gene stable ID version	Gene name	Gene start (bp)	Gene end (bp)
ENSG00000286799	ENSG00000286799.1	AC124066.1	19362760	19370236
ENSG00000166484	ENSG00000166484.20	MAPK7	19377721	19383544
ENSG00000166482	ENSG00000166482.12	MFAP4	19383442	19387190
ENSG00000287196	ENSG00000287196.1	AC004448.5	19403283	19403872
ENSG00000128482	ENSG00000128482.16	RNF112	19411125	19417276
ENSG00000265126	ENSG00000265126.1	AC004448.3	19411786	19413118
ENSG00000235979	ENSG00000235979.9	AC004448.2	19417769	19492991
ENSG00000227078	ENSG00000227078.1	LINC02094	19419035	19424357
ENSG00000283675	ENSG00000283675.1	AC004448.4	19420279	19420342
ENSG00000189343	ENSG00000189343.7	RPS2P46	19445970	19446852
ENSG00000231477	ENSG00000231477.2	AC004448.1	19457080	19458399
ENSG00000142494	ENSG00000142494.13	SLC47A1	19495385	19579034
ENSG00000228331	ENSG00000228331.2	RPL17P43	19496943	19497528
ENSG00000266079	ENSG00000266079.5	SNORA59B	19557211	19557911
ENSG00000262769	ENSG00000262769.1	AC025627.1	19560111	19597922
ENSG00000228983	ENSG00000228983.9	SLC47A1P1	19579943	19596058
ENSG00000263107	ENSG00000263107.1	AC025627.2	19582116	19582275
ENSG00000266179	ENSG00000266179.2	AC025627.3	19600860	19601345
ENSG00000271900	ENSG00000271900.1	AC025627.4	19601840	19602256
ENSG00000227225	ENSG00000227225.1	MTND1P14	19602259	19603208
ENSG00000242752	ENSG00000242752.3	NMTRQ-TTG12-1	19603274	19603345
ENSG00000228725	ENSG00000228725.3	MTND2P12	19603797	19605048
ENSG00000224254	ENSG00000224254.2	MTCO1P39	19605454	19605933
ENSG00000231625	ENSG00000231625.4	SLC47A1P2	19615789	19633825
ENSG00000072210	ENSG00000072210.19	ALDH3A2	19648136	19685760
ENSG00000264932	ENSG00000264932.3	AC115989.1	19649373	19649935
ENSG00000275982	ENSG00000275982.1	AC115989.2	19649494	19649587
ENSG00000252349	ENSG00000252349.1	AC005722.2	19662000	19662090
ENSG00000180638	ENSG00000180638.18	SLC47A2	19678288	19718979
ENSG00000262681	ENSG00000262681.2	AC005722.3	19719059	19722428
ENSG00000264785	ENSG00000264785.1	AC005722.4	19737682	19738542
ENSG00000108602	ENSG00000108602.18	ALDH3A1	19737984	19748943
ENSG00000230607	ENSG00000230607.3	AC005722.1	19755244	19756207
ENSG00000083290	ENSG00000083290.20	ULK2	19770829	19867936
ENSG00000231096	ENSG00000231096.1	NDUFB4P3	19840126	19840515
ENSG00000279251	ENSG00000279251.1	AC015726.3	19855747	19856164
ENSG00000276406	ENSG00000276406.1	AC015726.2	19868568	19868689
ENSG00000270091	ENSG00000270091.1	AC015726.1	19896590	19897287
ENSG00000108599	ENSG00000108599.15	AKAP10	19904302	19978343
ENSG00000266126	ENSG00000266126.1	AC005730.3	19929372	19929737
ENSG00000261033	ENSG00000261033.1	AC005730.2	20008051	20009234
ENSG00000128487	ENSG00000128487.16	SPECC1	20009344	20319026
ENSG00000225681	ENSG00000225681.2	AC005730.1	20056287	20056630
ENSG00000225014	ENSG00000225014.1	KCTD9P1	20111824	20112990
ENSG00000212186	ENSG00000212186.1	RNU6-258P	20126388	20126488
ENSG00000263494	ENSG00000263494.1	AC004702.1	20185082	20322973
ENSG00000252971	ENSG00000252971.1	RNU6-1057P	20290257	20290358
ENSG00000154898	ENSG00000154898.15	CCDC144CP	20321164	20403557
ENSG00000276577	ENSG00000276577.1	RNU6-467P	20323001	20323110
ENSG00000266839	ENSG00000266839.3	AC008088.1	20323058	20323337
ENSG00000214832	ENSG00000214832.5	UPF3AP2	20375369	20376840
ENSG00000189423	ENSG00000189423.13	USP32P3	20408311	20434286
ENSG00000237911	ENSG00000237911.2	SRP68P3	20415792	20416697
ENSG00000287490	ENSG00000287490.1	AC015818.9	20416610	20447224
ENSG00000287751	ENSG00000287751.1	AC015818.10	20417450	20417956
ENSG00000230528	ENSG00000230528.7	NOS2P3	20436337	20447249
ENSG00000170298	ENSG00000170298.15	LGALS9B	20449395	20467539
ENSG00000229586	ENSG00000229586.2	TNPO1P3	20481330	20483991
ENSG00000263976	ENSG00000263976.1	YWHAEP3	20491323	20491443
ENSG00000230088	ENSG00000230088.1	KRT16P5	20493634	20494155
ENSG00000214822	ENSG00000214822.8	KRT16P3	20501513	20512357
ENSG00000266925	ENSG00000266925.1	AC015818.7	20507413	20508931
ENSG00000231645	ENSG00000231645.3	KRT17P6	20512560	20517479
ENSG00000205215	ENSG00000205215.8	KRT17P7	20519312	20528687
ENSG00000266042	ENSG00000266042.1	AC015818.6	20526102	20526210
ENSG00000260907	ENSG00000260907.1	AC015818.2	20530042	20530881
ENSG00000265916	ENSG00000265916.1	AC015818.5	20532248	20532881
ENSG00000235203	ENSG00000235203.2	TBC1D3P3	20543481	20550963
ENSG00000267075	ENSG00000267075.1	AC015818.8	20545371	20549952
ENSG00000230339	ENSG00000230339.2	AC015818.1	20554137	20554380
ENSG00000263946	ENSG00000263946.1	AC015818.3	20554971	20559410
ENSG00000235323	ENSG00000235323.2	COTL1P2	20564538	20564889
ENSG00000264422	ENSG00000264422.1	AC015818.4	20576667	20578748
ENSG00000214819	ENSG00000214819.2	CDRT15L2	20579724	20580911
ENSG00000231258	ENSG00000231258.2	ZSWIM5P2	20583758	20591180
ENSG00000188013	ENSG00000188013.6	MEIS3P2	20589293	20590367
ENSG00000232889	ENSG00000232889.2	AC087499.3	20595531	20595708
ENSG00000226096	ENSG00000226096.1	AC087499.1	20609462	20609610
ENSG00000235546	ENSG00000235546.2	AC087499.4	20612667	20614008
ENSG00000227685	ENSG00000227685.1	LINC02088	20612912	20633234
ENSG00000266364	ENSG00000266364.1	AC087499.7	20633034	20633259
ENSG00000236504	ENSG00000236504.2	AC087499.5	20647287	20681799
ENSG00000264874	ENSG00000264874.1	AC087499.6	20710425	20710533
ENSG00000226521	ENSG00000226521.7	AC087499.2	20716481	20737127
ENSG00000187870	ENSG00000187870.7	RNFT1P3	20743333	20754501
ENSG00000218454	ENSG00000218454.2	HNRNPA1P19	20771058	20771427
ENSG00000213671	ENSG00000213671.3	OLA1P2	20775642	20776905
ENSG00000226549	ENSG00000226549.3	SCDP1	20784645	20785725
ENSG00000264215	ENSG00000264215.1	AC126365.1	20788071	20789584
ENSG00000264662	ENSG00000264662.1	AC126365.2	20789217	20789595
ENSG00000226981	ENSG00000226981.2	ABHD17AP6	20814620	20844257
ENSG00000205212	ENSG00000205212.5	CCDC144NL	20836447	20896140
ENSG00000266369	ENSG00000266369.1	AC090774.2	20855946	20857317
ENSG00000233098	ENSG00000233098.9	CCDC144NL-AS1	20868433	21002276
ENSG00000252483	ENSG00000252483.1	RNU6-1178P	20894532	20894638
ENSG00000265790	ENSG00000265790.1	RNASEH1P1	20901939	20902680
ENSG00000265099	ENSG00000265099.1	AC090774.1	20938023	20938344
ENSG00000244456	ENSG00000244456.2	SPECC1P2	20956682	20958404
ENSG00000264660	ENSG00000264660.2	AC107926.1	20963722	20980238
ENSG00000266009	ENSG00000266009.1	AC087393.3	20981489	20981654
ENSG00000263729	ENSG00000263729.1	AC087393.1	20983902	20984046
ENSG00000124422	ENSG00000124422.12	USP22	20999596	21043760
ENSG00000263986	ENSG00000263986.1	AC087393.2	20999747	21000323
ENSG00000236819	ENSG00000236819.2	LINC01563	21075362	21092351
ENSG00000109016	ENSG00000109016.17	DHRS7B	21123364	21193265
ENSG00000178307	ENSG00000178307.10	TMEM11	21197954	21214176
ENSG00000235530	ENSG00000235530.7	AC087294.1	21214322	21230035
ENSG00000263815	ENSG00000263815.2	RN7SL426P	21229334	21229628
ENSG00000274180	ENSG00000274180.1	NATD1	21238870	21253410
ENSG00000266563	ENSG00000266563.1	EIF1P5	21259968	21260501
ENSG00000034152	ENSG00000034152.19	MAP2K3	21284672	21315232
ENSG00000184185	ENSG00000184185.10	KCNJ12	21376357	21419870
ENSG00000212719	ENSG00000212719.13	LINC02693	21428263	21574517
ENSG00000287671	ENSG00000287671.1	AC068418.3	21442805	21451525
ENSG00000265881	ENSG00000265881.1	PDLIM1P2	21444833	21445439
ENSG00000265043	ENSG00000265043.1	AC068418.2	21456513	21460215
ENSG00000264023	ENSG00000264023.1	AC068418.1	21457434	21458989
ENSG00000244582	ENSG00000244582.2	RPL21P120	21504558	21505059
ENSG00000265265	ENSG00000265265.1	AC233702.5	21519514	21521269
ENSG00000266466	ENSG00000266466.1	AC233702.7	21532974	21542786
ENSG00000266673	ENSG00000266673.1	AC233702.8	21552509	21552711
ENSG00000266050	ENSG00000266050.3	AC233702.6	21573536	21573746
ENSG00000264245	ENSG00000264245.1	AC233702.3	21573770	21574073
ENSG00000263375	ENSG00000263375.1	AC233702.2	21592794	21594180
ENSG00000260157	ENSG00000260157.3	AC233702.1	21614487	21641536
ENSG00000264617	ENSG00000264617.1	AC233702.4	21655843	21657633
ENSG00000274748	ENSG00000274748.1	AC233702.9	21678086	21678418
ENSG00000260458	ENSG00000260458.3	KCNJ18	21692523	21704612
ENSG00000283566	ENSG00000283566.2	AC243725.1	21773754	21783465
ENSG00000265233	ENSG00000265233.1	ABBA01006766.1	22056587	22056755
ENSG00000265019	ENSG00000265019.1	NCOR1P2	22061961	22070538
ENSG00000263563	ENSG00000263563.6	UBBP4	22090743	22205154
ENSG00000263725	ENSG00000263725.1	FTLP13	22221221	22221605
ENSG00000263609	ENSG00000263609.2	LINC02002	22233926	22266392
ENSG00000264956	ENSG00000264956.2	AC138761.1	22266395	22288301
ENSG00000266691	ENSG00000266691.1	AC138761.2	22277867	22279289
ENSG00000178130	ENSG00000178130.9	FAM27E5	22298691	22299893
ENSG00000266806	ENSG00000266806.1	AC087575.1	22331597	22332410
ENSG00000276399	ENSG00000276399.1	FLJ36000	22406019	22413744
ENSG00000261020	ENSG00000261020.1	AC132825.3	22420022	22424731
ENSG00000266885	ENSG00000266885.2	AC132825.4	22435390	22439033
ENSG00000283879	ENSG00000283879.1	AC132825.5	22519195	22519504
ENSG00000266529	ENSG00000266529.1	MTCYBP13	22519617	22520709
ENSG00000256618	ENSG00000256618.2	MTRNR2L1	22523111	22524663
ENSG00000243655	ENSG00000243655.2	AC132825.2	22524563	22525330
ENSG00000264168	ENSG00000264168.2	MTND1P15	22524738	22525686
ENSG00000263914	ENSG00000263914.1	MTND2P13	22525899	22526937
ENSG00000240103	ENSG00000240103.2	AC132825.1	22527324	22529570
ENSG00000241225	ENSG00000241225.2	NMTRS-TGA3-1	22528853	22528921
ENSG00000263483	ENSG00000263483.1	MTATP6P3	22529934	22530609
ENSG00000264316	ENSG00000264316.1	MTCO3P13	22530612	22531392
ENSG00000284300	ENSG00000284300.1	AC132825.7	22531463	22531797
ENSG00000284328	ENSG00000284328.1	AC132825.8	22531876	22532172
ENSG00000284263	ENSG00000284263.1	AC132825.6	22532166	22532522
ENSG00000275480	ENSG00000275480.1	AC131055.2	22567423	22568713
ENSG00000264930	ENSG00000264930.1	AC131055.1	22606388	22606703
ENSG00000264970	ENSG00000264970.2	AC131274.3	22671433	22706703
ENSG00000264262	ENSG00000264262.1	AC131274.1	22676695	22692618
ENSG00000264431	ENSG00000264431.1	AC131274.2	22693325	22694831
ENSG00000263433	ENSG00000263433.1	AC069061.1	26981694	26982090
ENSG00000264734	ENSG00000264734.1	AC069061.2	26989189	26999941
ENSG00000264172	ENSG00000264172.1	PDLIM1P3	27002661	27003259
ENSG00000266736	ENSG00000266736.1	GTF2IP6	27019527	27047934
ENSG00000264837	ENSG00000264837.1	VN1R71P	27057399	27058221
ENSG00000265646	ENSG00000265646.2	TUFMP1	27082690	27084036
ENSG00000285822	ENSG00000285822.1	AC129926.2	27089545	27170310
ENSG00000265246	ENSG00000265246.1	AC129926.1	27237859	27241661
ENSG00000239223	ENSG00000239223.3	RPL34P31	27274107	27274477
ENSG00000213664	ENSG00000213664.4	RPS16P8	27280482	27280912
ENSG00000265453	ENSG00000265453.1	AC026254.1	27281094	27281415
ENSG00000263583	ENSG00000263583.1	MIR4522	27293910	27293996
ENSG00000109046	ENSG00000109046.15	WSB1	27294076	27315926
ENSG00000266313	ENSG00000266313.2	AC026254.2	27333241	27352828
ENSG00000265683	ENSG00000265683.1	SYPL1P2	27351858	27352584
ENSG00000266356	ENSG00000266356.1	AC090615.1	27411438	27412806
ENSG00000266433	ENSG00000266433.6	TBC1D3P5	27417690	27431623
ENSG00000141068	ENSG00000141068.14	KSR1	27456470	27626438
ENSG00000265801	ENSG00000265801.1	AC069366.2	27465112	27465541
ENSG00000263368	ENSG00000263368.1	AC069366.1	27526386	27527223
ENSG00000266853	ENSG00000266853.1	ITM2BP1	27612588	27613251
ENSG00000266728	ENSG00000266728.5	AC015688.4	27623364	27640777
ENSG00000266872	ENSG00000266872.1	AC015688.6	27625484	27626438
ENSG00000168961	ENSG00000168961.17	LGALS9	27629798	27649560
ENSG00000265788	ENSG00000265788.2	NOS2P1	27651334	27665712
ENSG00000265041	ENSG00000265041.1	AC015688.3	27666749	27672803
ENSG00000266771	ENSG00000266771.1	AC015688.5	27675894	27675997
ENSG00000264240	ENSG00000264240.1	CPDP1	27677805	27678087
ENSG00000264689	ENSG00000264689.1	AC015688.2	27682476	27682737
ENSG00000263604	ENSG00000263604.1	AC015688.1	27683946	27684144
ENSG00000265833	ENSG00000265833.1	AC130289.1	27707178	27707250
ENSG00000266416	ENSG00000266416.1	AC130289.2	27708111	27708138
ENSG00000266786	ENSG00000266786.1	LGALS9DP	27746132	27754954
ENSG00000007171	ENSG00000007171.18	NOS2	27756766	27800529
ENSG00000266202	ENSG00000266202.1	AC005697.1	27798806	27893365
ENSG00000266527	ENSG00000266527.1	AC005697.2	27874645	27881237
ENSG00000232859	ENSG00000232859.10	LYRM9	27878314	27894752
ENSG00000260019	ENSG00000260019.2	LINC01992	27928924	27991787
ENSG00000286589	ENSG00000286589.1	AC005697.3	27930177	27930920
ENSG00000251818	ENSG00000251818.1	AC090287.1	28018770	28018907
ENSG00000266190	ENSG00000266190.1	AC090287.2	28021668	28022265
ENSG00000087095	ENSG00000087095.13	NLK	28041737	28196381
ENSG00000252283	ENSG00000252283.1	AC100852.1	28061967	28062068
ENSG00000240873	ENSG00000240873.1	RPS29P22	28116239	28116406
ENSG00000287721	ENSG00000287721.1	AC061975.8	28204616	28223735
ENSG00000267644	ENSG00000267644.1	AC061975.7	28219285	28220005
ENSG00000237575	ENSG00000237575.4	PYY2	28226563	28228065
ENSG00000267259	ENSG00000267259.1	ERVE-1	28232590	28235281
ENSG00000266830	ENSG00000266830.1	AC061975.6	28246454	28248006
ENSG00000265060	ENSG00000265060.2	PPY2P	28247444	28248289
ENSG00000263788	ENSG00000263788.1	AC061975.2	28256375	28256669
ENSG00000264486	ENSG00000264486.1	AC061975.4	28256438	28265551
ENSG00000260777	ENSG00000260777.1	AC061975.1	28263634	28266369
ENSG00000266306	ENSG00000266306.1	AC061975.5	28269203	28272365
ENSG00000264029	ENSG00000264029.1	AC061975.3	28274657	28275716
ENSG00000265480	ENSG00000265480.5	KRT18P55	28275986	28317783
ENSG00000109084	ENSG00000109084.14	TMEM97	28319200	28328685
ENSG00000109083	ENSG00000109083.14	IFT20	28328325	28335489
ENSG00000109079	ENSG00000109079.10	TNFAIP1	28335602	28347009
ENSG00000004142	ENSG00000004142.12	POLDIP2	28346633	28357527
ENSG00000244045	ENSG00000244045.13	TMEM199	28357642	28363683
ENSG00000258924	ENSG00000258924.4	AC002094.1	28357647	28381697
ENSG00000284532	ENSG00000284532.1	MIR4723	28360654	28360734
ENSG00000265618	ENSG00000265618.1	AC002094.2	28361601	28362859
ENSG00000274529	ENSG00000274529.5	SEBOX	28364268	28365244
ENSG00000273171	ENSG00000273171.1	AC002094.3	28364288	28368012
ENSG00000004139	ENSG00000004139.14	SARM1	28364356	28404049
ENSG00000109072	ENSG00000109072.14	VTN	28367284	28373091
ENSG00000277450	ENSG00000277450.1	AC002094.4	28373256	28373562
ENSG00000279532	ENSG00000279532.1	AC002094.5	28373673	28374301
ENSG00000076351	ENSG00000076351.13	SLC46A1	28394642	28407197
ENSG00000265254	ENSG00000265254.1	AC015917.2	28405240	28406796
ENSG00000265541	ENSG00000265541.1	H3P41	28416922	28417492
ENSG00000263870	ENSG00000263870.1	AC015917.1	28444063	28445563
ENSG00000258472	ENSG00000258472.9	AC005726.1	28455752	28614185
ENSG00000263266	ENSG00000263266.2	RPS7P1	28467822	28468406
ENSG00000007216	ENSG00000007216.15	SLC13A2	28473293	28497781
ENSG00000109101	ENSG00000109101.7	FOXN1	28506243	28538896
ENSG00000109103	ENSG00000109103.12	UNC119	28546708	28552631
ENSG00000087111	ENSG00000087111.21	PIGS	28553383	28571794
ENSG00000109107	ENSG00000109107.14	ALDOC	28573115	28576948
ENSG00000265168	ENSG00000265168.1	AC005726.3	28573117	28574243
ENSG00000076382	ENSG00000076382.17	SPAG5	28577565	28599025
ENSG00000227543	ENSG00000227543.5	SPAG5-AS1	28598790	28617377
ENSG00000167524	ENSG00000167524.16	RSKR	28601827	28614197
ENSG00000265287	ENSG00000265287.2	AC005726.4	28607963	28609730
ENSG00000007202	ENSG00000007202.15	KIAA0100	28614446	28645454
ENSG00000264044	ENSG00000264044.1	AC005726.2	28633206	28635950
ENSG00000132581	ENSG00000132581.10	SDF2	28648346	28662189
ENSG00000240494	ENSG00000240494.2	RPS12P28	28655557	28655983
ENSG00000109111	ENSG00000109111.15	SUPT6H	28662198	28702679
ENSG00000265205	ENSG00000265205.1	AC010761.3	28670054	28672804
ENSG00000167525	ENSG00000167525.14	PROCA1	28703197	28711854
ENSG00000109113	ENSG00000109113.20	RAB34	28714281	28718429
ENSG00000198242	ENSG00000198242.14	RPL23A	28719985	28724359
ENSG00000238423	ENSG00000238423.1	SNORD42B	28720550	28720616
ENSG00000264577	ENSG00000264577.1	AC010761.1	28721487	28722877
ENSG00000238578	ENSG00000238578.1	SNORD4A	28722582	28722653
ENSG00000238649	ENSG00000238649.1	SNORD42A	28723429	28723492
ENSG00000238597	ENSG00000238597.1	SNORD4B	28723682	28723753
ENSG00000160606	ENSG00000160606.11	TLCD1	28724348	28727935
ENSG00000160602	ENSG00000160602.14	NEK8	28725897	28743455
ENSG00000267729	ENSG00000267729.1	AC010761.6	28727258	28727739
ENSG00000265073	ENSG00000265073.1	AC010761.2	28732963	28743102
ENSG00000076604	ENSG00000076604.15	TRAF4	28744005	28750956
ENSG00000265474	ENSG00000265474.1	AC010761.4	28745569	28747652
ENSG00000265840	ENSG00000265840.1	AC010761.5	28749731	28750079
ENSG00000173065	ENSG00000173065.13	FAM222B	28755978	28855232
ENSG00000243053	ENSG00000243053.2	RPL31P58	28802444	28802822
ENSG00000264138	ENSG00000264138.1	AC024267.2	28848860	28849592
ENSG00000132591	ENSG00000132591.12	ERAL1	28855010	28861061
ENSG00000264066	ENSG00000264066.6	AC024267.1	28861072	28861966
ENSG00000284565	ENSG00000284565.1	MIR451A	28861369	28861440
ENSG00000283364	ENSG00000283364.1	MIR451B	28861371	28861438
ENSG00000283819	ENSG00000283819.1	MIR144	28861533	28861618
ENSG00000284085	ENSG00000284085.1	MIR4732	28861655	28861730
ENSG00000132589	ENSG00000132589.16	FLOT2	28879335	28897733
ENSG00000264304	ENSG00000264304.1	AC024267.3	28892469	28893342
ENSG00000266642	ENSG00000266642.2	AC024267.6	28897738	28899402
ENSG00000167536	ENSG00000167536.14	DHRS13	28897781	28903079
ENSG00000109118	ENSG00000109118.14	PHF12	28905250	28951771
ENSG00000265845	ENSG00000265845.2	AC024267.4	28926275	28944749
ENSG00000265908	ENSG00000265908.1	AC024267.5	28944796	28945394
ENSG00000179761	ENSG00000179761.12	PIPOX	28950513	29057216
ENSG00000063015	ENSG00000063015.20	SEZ6	28954901	29006440
ENSG00000263613	ENSG00000263613.1	AC024619.2	29009799	29011009
ENSG00000238007	ENSG00000238007.1	AC024619.1	29012865	29016512
ENSG00000263781	ENSG00000263781.3	AC024619.4	29021325	29021640
ENSG00000196535	ENSG00000196535.16	MYO18A	29071124	29180412
ENSG00000221995	ENSG00000221995.5	TIAF1	29073521	29078857
ENSG00000263709	ENSG00000263709.1	AC024619.3	29140483	29155489
ENSG00000264050	ENSG00000264050.1	AC005412.1	29197071	29197785
ENSG00000178082	ENSG00000178082.6	TWF1P1	29203426	29204474
ENSG00000108255	ENSG00000108255.8	CRYBA1	29246859	29254494
ENSG00000108256	ENSG00000108256.9	NUFIP2	29255839	29294148
ENSG00000239256	ENSG00000239256.1	RPL35AP35	29340482	29340822
ENSG00000266111	ENSG00000266111.2	AC068025.2	29352069	29404105
ENSG00000264808	ENSG00000264808.1	AC068025.1	29369717	29390777
ENSG00000222363	ENSG00000222363.1	RNU4-34P	29388560	29388683
ENSG00000160551	ENSG00000160551.11	TAOK1	29390464	29551904
ENSG00000284162	ENSG00000284162.1	MIR4523	29390662	29390730
ENSG00000253064	ENSG00000253064.1	RNU6-711P	29424762	29424867
ENSG00000202205	ENSG00000202205.1	RNU6-1034P	29445300	29445400
ENSG00000168792	ENSG00000168792.5	ABHD15	29560547	29567037
ENSG00000264031	ENSG00000264031.1	ABHD15-AS1	29560547	29707090
ENSG00000167543	ENSG00000167543.16	TP53I13	29566052	29573157
ENSG00000264290	ENSG00000264290.1	AC104564.3	29569580	29570519
ENSG00000108262	ENSG00000108262.16	GIT1	29573475	29594054
ENSG00000198720	ENSG00000198720.13	ANKRD13B	29589769	29614761
ENSG00000264647	ENSG00000264647.1	AC104564.4	29591703	29592241
ENSG00000167549	ENSG00000167549.18	CORO6	29614756	29622907
ENSG00000264007	ENSG00000264007.1	AC104564.2	29621617	29622254
ENSG00000141298	ENSG00000141298.19	SSH2	29625938	29930276
ENSG00000263370	ENSG00000263370.1	AC104564.1	29639627	29640825
ENSG00000222858	ENSG00000222858.1	RNU6-920P	29641611	29641702
ENSG00000265625	ENSG00000265625.1	AC104564.5	29644796	29645847
ENSG00000240531	ENSG00000240531.1	RPL21P123	29716279	29716685
ENSG00000263657	ENSG00000263657.1	AC023389.1	29761103	29787836
ENSG00000265713	ENSG00000265713.1	AC023389.2	29775747	29776701
ENSG00000240074	ENSG00000240074.1	RPL9P30	29855759	29856332
ENSG00000263477	ENSG00000263477.1	AC104982.2	29863402	29866092
ENSG00000239129	ENSG00000239129.1	AC104982.1	29883006	29883109
ENSG00000176927	ENSG00000176927.15	EFCAB5	29929200	30108452
ENSG00000264435	ENSG00000264435.1	AC104982.3	29972514	29973027
ENSG00000207011	ENSG00000207011.1	RNY4P13	30059052	30059147
ENSG00000267482	ENSG00000267482.1	AC104996.3	30059054	30059147
ENSG00000265289	ENSG00000265289.1	AC104996.1	30059339	30065677
ENSG00000266876	ENSG00000266876.1	AC104996.2	30068632	30069631
ENSG00000265394	ENSG00000265394.1	AC104984.2	30090366	30117497
ENSG00000126653	ENSG00000126653.18	NSRP1	30115521	30186475
ENSG00000266919	ENSG00000266919.3	hsa-mir-423	30117079	30117172
ENSG00000283935	ENSG00000283935.1	MIR423	30117079	30117172
ENSG00000284399	ENSG00000284399.1	MIR3184	30117086	30117160
ENSG00000265739	ENSG00000265739.1	AC104984.3	30122429	30126118
ENSG00000266987	ENSG00000266987.1	AC104984.5	30144062	30144790
ENSG00000108576	ENSG00000108576.10	SLC6A4	30194319	30236002
ENSG00000264125	ENSG00000264125.1	AC104984.1	30204318	30206468
ENSG00000266120	ENSG00000266120.1	AC104984.4	30238741	30252237
ENSG00000252112	ENSG00000252112.1	SNORD63	30246757	30246820
ENSG00000108578	ENSG00000108578.15	BLMH	30248203	30292056
ENSG00000222679	ENSG00000222679.1	RNU6-1267P	30288071	30288177
ENSG00000182271	ENSG00000182271.13	TMIGD1	30316333	30334059
ENSG00000201255	ENSG00000201255.1	RNU6-990P	30360463	30360566
ENSG00000108582	ENSG00000108582.12	CPD	30378927	30469989
ENSG00000108587	ENSG00000108587.16	GOSR1	30477362	30527592
ENSG00000264958	ENSG00000264958.2	ALOX12P1	30529688	30542416
ENSG00000263860	ENSG00000263860.1	AC011840.3	30550493	30551189
ENSG00000279431	ENSG00000279431.1	AC011840.5	30551193	30551802
ENSG00000266733	ENSG00000266733.7	TBC1D29P	30553502	30563493
ENSG00000266775	ENSG00000266775.1	AC011840.4	30557732	30558502
ENSG00000259928	ENSG00000259928.1	AC011840.2	30564057	30565576
ENSG00000231870	ENSG00000231870.4	KRT17P3	30567700	30571748
ENSG00000231421	ENSG00000231421.8	AC011840.1	30573471	30577000
ENSG00000214719	ENSG00000214719.13	AC005562.1	30576464	30672789
ENSG00000248121	ENSG00000248121.8	SMURF2P1	30600796	30615980
ENSG00000273609	ENSG00000273609.1	AC005562.2	30617680	30617790
ENSG00000264943	ENSG00000264943.1	SH3GL1P2	30624413	30625494
ENSG00000250462	ENSG00000250462.8	LRRC37BP1	30629680	30637466
ENSG00000241631	ENSG00000241631.3	RN7SL316P	30702504	30702775
ENSG00000264538	ENSG00000264538.6	SUZ12P1	30709299	30790908
ENSG00000279337	ENSG00000279337.1	AC127024.7	30724982	30725181
ENSG00000265443	ENSG00000265443.1	AC127024.3	30726305	30727564
ENSG00000263603	ENSG00000263603.1	AC127024.2	30729469	30731202
ENSG00000280069	ENSG00000280069.1	AC127024.8	30738182	30740275
ENSG00000176390	ENSG00000176390.12	CRLF3	30769388	30824692
ENSG00000265791	ENSG00000265791.1	AC127024.4	30781493	30782221
ENSG00000266490	ENSG00000266490.1	AC127024.5	30792372	30792833
ENSG00000276250	ENSG00000276250.1	AC127024.6	30803654	30804077
ENSG00000242439	ENSG00000242439.1	AC127024.1	30830901	30831318
ENSG00000176208	ENSG00000176208.9	ATAD5	30831966	30895869
ENSG00000265334	ENSG00000265334.1	AC130324.2	30834325	30863028
ENSG00000212190	ENSG00000212190.1	RNU6-298P	30861843	30861938
ENSG00000263531	ENSG00000263531.1	AC130324.1	30863921	30864940
ENSG00000172171	ENSG00000172171.11	TEFM	30897336	30906238
ENSG00000275185	ENSG00000275185.1	AC130324.3	30899110	30899651
ENSG00000184060	ENSG00000184060.11	ADAP2	30906344	30959322
ENSG00000230113	ENSG00000230113.1	AC138207.1	30956280	30956961
ENSG00000266274	ENSG00000266274.2	RN7SL138P	30959564	30959850
ENSG00000265743	ENSG00000265743.1	AC138207.5	30964935	30965500
ENSG00000286194	ENSG00000286194.1	AC138207.9	30968785	30970307
ENSG00000181481	ENSG00000181481.14	RNF135	30970984	30999911
ENSG00000264456	ENSG00000264456.1	AC138207.4	30971652	30973312
ENSG00000264743	ENSG00000264743.2	DPRXP4	30975387	30975954
ENSG00000266340	ENSG00000266340.1	AC138207.7	30978610	30980250
ENSG00000264148	ENSG00000264148.1	AC138207.3	31008154	31008319
ENSG00000266865	ENSG00000266865.6	AC138207.8	31008497	31093127
ENSG00000265798	ENSG00000265798.6	AC138207.6	31038575	31059121
ENSG00000264107	ENSG00000264107.1	AC138207.2	31090787	31095450
ENSG00000265444	ENSG00000265444.1	MIR4733	31094350	31094425
ENSG00000196712	ENSG00000196712.18	NF1	31094927	31382116
ENSG00000266371	ENSG00000266371.1	AC079915.1	31133182	31138518
ENSG00000126861	ENSG00000126861.5	OMG	31272013	31297539
ENSG00000185862	ENSG00000185862.7	EVI2B	31303770	31314105
ENSG00000265118	ENSG00000265118.5	AC134669.1	31305213	31318831
ENSG00000126860	ENSG00000126860.12	EVI2A	31316410	31321749
ENSG00000263535	ENSG00000263535.2	AK4P1	31345519	31346190
ENSG00000131242	ENSG00000131242.18	RAB11FIP4	31391675	31538211
ENSG00000239595	ENSG00000239595.3	RN7SL79P	31465543	31465832
ENSG00000264862	ENSG00000264862.2	RN7SL45P	31518432	31518729
ENSG00000278977	ENSG00000278977.1	AC003101.3	31533171	31533938
